Customer_ID,Recency,Frequency,Monetary,Profit,Avg_Order_Value,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
AB-1053,44,4,1996,-530.76,181.45454545454547,4,2,3,423,Potential_Loyalists,0
AB-106001,241,9,7148,1608.9561,476.53333333333336,2,5,5,255,At_Risk,1
AB-106002,338,6,4276,-503.295,475.1111111111111,2,3,5,235,At_Risk,1
AB-106003,85,3,377,74.66,62.833333333333336,3,1,1,311,Needs_Attention,0
AB-106004,51,4,1515,-274.9604,189.375,4,2,3,423,Potential_Loyalists,0
AB-1501,399,4,3145,862.1400000000001,393.125,1,2,4,124,Lost_Customers,0
AB-151,413,2,2125,386.64,354.1666666666667,1,1,3,113,Lost_Customers,0
AB-152,504,3,2481,577.0799999999999,413.5,1,1,3,113,Lost_Customers,2
AB-1651,31,1,160,35.22,80.0,5,1,1,511,Potential_Loyalists,0
AB-1652,710,1,411,78.0,411.0,1,1,1,111,Lost_Customers,2
AB-1653,17,4,828,-6.62399999999999,165.6,5,2,2,522,Potential_Loyalists,0
AB-2551,175,5,4083,787.2,371.1818181818182,2,3,4,234,At_Risk,0
AB-2552,44,1,283,57.96,141.5,4,1,1,411,Potential_Loyalists,0
AB-2553,121,2,313,-43.308,156.5,3,1,1,311,Needs_Attention,0
AB-6001,8,3,1384,253.56,65.9047619047619,5,1,3,513,Potential_Loyalists,0
AB-6002,876,2,4027,711.0899999999999,805.4,1,1,4,114,Lost_Customers,2
AB-601,36,3,1483,685.9979999999999,296.6,4,1,3,413,Potential_Loyalists,0
AB-602,134,6,287,-220.07999999999998,47.833333333333336,3,3,1,331,Loyal_Customers,0
AC-104201,220,5,4086,709.7487,340.5,2,3,4,234,At_Risk,0
AC-104202,463,7,1033,214.278,129.125,1,4,2,142,At_Risk,0
AC-104203,7,9,4561,-655.4119999999999,304.06666666666666,5,5,5,555,Champions,1
AC-104204,233,3,926,-62.13420000000001,185.2,2,1,2,212,Needs_Attention,0
AC-104501,9,5,7610,2310.4524,951.25,5,3,5,535,Loyal_Customers,1
AC-104502,6,4,2295,614.19,382.5,5,2,3,523,Potential_Loyalists,0
AC-104503,197,3,694,-185.048,115.66666666666667,2,1,2,212,Needs_Attention,0
AC-104504,12,7,5529,1366.0098,614.3333333333334,5,4,5,545,Champions,1
AC-106151,13,11,5753,1253.5158,239.70833333333334,5,5,5,555,Champions,1
AC-106152,41,5,2738,-394.92,248.9090909090909,4,3,4,434,Loyal_Customers,0
AC-106153,37,8,1699,3.252679999999998,141.58333333333334,4,4,3,443,Loyal_Customers,0
AC-106154,7,5,2538,298.8273,141.0,5,3,3,533,Loyal_Customers,0
AC-106601,64,4,1175,-38.54820000000001,235.0,4,2,2,422,Potential_Loyalists,0
AC-106602,152,6,2234,-87.876,248.22222222222223,3,3,3,333,Loyal_Customers,0
AC-106603,3,6,2189,-843.8727200000001,145.93333333333334,5,3,3,533,Loyal_Customers,0
AC-106604,283,5,658,-28.700399999999995,109.66666666666667,2,3,2,232,At_Risk,0
AC-4201,14,6,841,150.159,56.06666666666667,5,3,2,532,Loyal_Customers,0
AC-4202,387,3,849,87.39600000000002,141.5,1,1,2,112,Lost_Customers,0
AC-4501,337,3,670,81.78,167.5,2,1,2,212,Needs_Attention,0
AC-4502,920,2,147,34.32,73.5,1,1,1,111,Lost_Customers,2
AC-4503,182,2,210,-241.29299999999998,52.5,2,1,1,211,Needs_Attention,0
AC-6151,510,3,1706,-438.85799999999995,243.71428571428572,1,1,3,113,Lost_Customers,2
AC-6152,93,4,593,158.31,53.90909090909091,3,2,2,322,Needs_Attention,0
AC-6601,120,3,2666,726.12,380.85714285714283,3,1,4,314,Needs_Attention,0
AC-6602,413,1,10,0.75,10.0,1,1,1,111,Lost_Customers,2
AD-101801,93,8,9209,-25.87769999999992,484.6842105263158,3,4,5,345,Loyal_Customers,1
AD-101802,377,5,1001,119.8785,166.83333333333334,1,3,2,132,At_Risk,0
AD-101803,332,6,1541,86.82400000000001,154.1,2,3,3,233,At_Risk,0
AD-101804,30,8,6106,1869.9294000000002,508.8333333333333,5,4,5,545,Champions,1
AD-1801,197,1,12,3.45,12.0,2,1,1,211,Needs_Attention,0
AD-1802,6,2,669,-514.212,95.57142857142857,5,1,2,512,Potential_Loyalists,0
AF-108701,7,14,10793,-411.62550000000005,299.80555555555554,5,5,5,555,Champions,1
AF-108702,106,6,7808,-172.30199999999996,867.5555555555555,3,3,5,335,Loyal_Customers,1
AF-108703,427,9,5832,2002.028,291.6,1,5,5,155,At_Risk,1
AF-108704,42,7,2052,317.9712,128.25,4,4,3,443,Loyal_Customers,0
AF-108851,77,10,8347,1099.395,379.40909090909093,4,5,5,455,Champions,1
AF-108852,163,13,5880,921.48,226.15384615384616,2,5,5,255,At_Risk,1
AF-108853,54,8,4621,1025.1572800000001,308.06666666666666,4,4,5,445,Champions,1
AF-108854,416,4,862,-163.1175,123.14285714285714,1,2,2,122,Lost_Customers,0
AF-8701,13,4,672,201.33,74.66666666666667,5,2,2,522,Potential_Loyalists,0
AF-8702,766,1,125,43.8,62.5,1,1,1,111,Lost_Customers,2
AF-8703,6,4,901,297.102,150.16666666666666,5,2,2,522,Potential_Loyalists,0
AF-8851,204,1,139,32.46,69.5,2,1,1,211,Needs_Attention,0
AF-8852,168,1,215,55.86,53.75,2,1,1,211,Needs_Attention,0
AG-102701,66,7,4771,891.3987,251.10526315789474,4,4,5,445,Champions,1
AG-102702,197,4,1663,249.21,277.1666666666667,2,2,3,223,Needs_Attention,0
AG-102703,41,9,1622,278.64752,135.16666666666666,4,5,3,453,Loyal_Customers,1
AG-102704,279,5,2584,732.7399,184.57142857142858,2,3,4,234,At_Risk,0
AG-103001,28,5,3212,385.78020000000004,356.8888888888889,5,3,4,534,Loyal_Customers,0
AG-103002,73,7,6071,1280.598,433.64285714285717,4,4,5,445,Champions,1
AG-103003,3,8,3364,120.09999999999998,258.7692307692308,5,4,4,544,Champions,1
AG-103004,119,4,367,59.288399999999996,73.4,3,2,1,321,Needs_Attention,0
AG-103301,173,5,4208,259.6632,300.57142857142856,2,3,4,234,At_Risk,0
AG-103302,150,9,3590,661.5405000000001,179.5,3,5,4,354,Loyal_Customers,1
AG-103303,183,10,6078,13.400479999999902,253.25,2,5,5,255,At_Risk,1
AG-103304,9,5,662,-5.137099999999997,73.55555555555556,5,3,2,532,Loyal_Customers,0
AG-103901,241,2,2228,377.229,318.2857142857143,2,1,3,213,Needs_Attention,0
AG-103902,414,4,2646,28.842000000000006,294.0,1,2,4,124,Lost_Customers,0
AG-103903,190,8,3380,520.3936,177.89473684210526,2,4,4,244,At_Risk,1
AG-103904,115,5,201,69.2784,25.125,3,3,1,331,Loyal_Customers,0
AG-104951,168,6,3451,463.533,345.1,2,3,4,234,At_Risk,0
AG-104952,129,11,7461,1669.5525,286.96153846153845,3,5,5,355,Loyal_Customers,1
AG-104953,201,4,2110,320.30956,422.0,2,2,3,223,Needs_Attention,0
AG-104954,79,8,2356,295.6668,112.19047619047619,3,4,3,343,Loyal_Customers,1
AG-105251,135,3,324,13.259999999999998,108.0,3,1,1,311,Needs_Attention,0
AG-105252,38,8,4071,151.71900000000002,339.25,4,4,4,444,Champions,1
AG-105253,13,5,2620,23.816000000000006,374.2857142857143,5,3,4,534,Loyal_Customers,0
AG-105254,846,4,1455,-152.7613,161.66666666666666,1,2,3,123,Lost_Customers,2
AG-106751,770,3,3644,360.429,280.3076923076923,1,1,4,114,Lost_Customers,2
AG-106752,48,7,2284,206.21099999999996,190.33333333333334,4,4,3,443,Loyal_Customers,0
AG-106753,401,4,3606,360.5763999999999,300.5,1,2,4,124,Lost_Customers,0
AG-106754,98,7,3489,-246.42569999999998,232.6,3,4,4,344,Loyal_Customers,1
AG-107651,377,4,1586,93.21150000000002,317.2,1,2,3,123,Lost_Customers,0
AG-107652,93,6,2159,110.80199999999998,215.9,3,3,3,333,Loyal_Customers,0
AG-107653,29,13,5913,1055.002,246.375,5,5,5,555,Champions,1
AG-107654,78,4,170,-8.430999999999997,34.0,3,2,1,321,Needs_Attention,0
AG-109001,118,8,5035,359.2755,218.91304347826087,3,4,5,345,Loyal_Customers,1
AG-109002,373,8,3108,551.1795,259.0,1,4,4,144,At_Risk,1
AG-109003,58,3,5519,625.62976,613.2222222222222,4,1,5,415,Potential_Loyalists,0
AG-109004,97,10,4511,343.68240000000003,214.8095238095238,3,5,5,355,Loyal_Customers,1
AG-2701,164,5,1997,232.10999999999999,221.88888888888889,2,3,3,233,At_Risk,0
AG-2702,520,1,296,55.44,98.66666666666667,1,1,1,111,Lost_Customers,2
AG-2703,14,2,486,163.026,121.5,5,1,1,511,Potential_Loyalists,0
AG-3001,146,2,866,-802.452,173.2,3,1,2,312,Needs_Attention,0
AG-3002,99,4,835,-270.168,69.58333333333333,3,2,2,322,Needs_Attention,0
AG-3301,3,6,513,74.20499999999998,57.0,5,3,1,531,Loyal_Customers,0
AG-3302,15,1,20,3.3,20.0,5,1,1,511,Potential_Loyalists,0
AG-3901,1121,2,414,-504.774,59.142857142857146,1,1,1,111,Lost_Customers,2
AG-3902,113,2,59,-43.704,19.666666666666668,3,1,1,311,Needs_Attention,0
AG-4951,206,3,469,48.66,117.25,2,1,1,211,Needs_Attention,0
AG-4952,49,2,52,9.149999999999999,26.0,4,1,1,411,Potential_Loyalists,0
AG-4953,70,6,482,-164.658,48.2,4,3,1,431,Loyal_Customers,0
AG-5251,16,6,802,-211.644,72.9090909090909,5,3,2,532,Loyal_Customers,0
AG-5252,729,1,2067,345.0,1033.5,1,1,3,113,Lost_Customers,2
AG-6751,174,6,774,-318.02099999999996,43.0,2,3,2,232,At_Risk,0
AG-6752,271,4,1595,560.2919999999999,227.85714285714286,2,2,3,223,Needs_Attention,0
AG-7651,580,4,769,-891.0600000000001,109.85714285714286,1,2,2,122,Lost_Customers,2
AG-7652,115,4,1090,-184.21799999999996,155.71428571428572,3,2,2,322,Needs_Attention,0
AG-9001,24,4,1698,-146.52,169.8,5,2,3,523,Potential_Loyalists,0
AH-100301,411,6,4154,911.4,415.4,1,3,4,134,At_Risk,1
AH-100302,29,8,3973,981.594,397.3,5,4,4,544,Champions,1
AH-100303,159,6,4568,343.22384,351.38461538461536,2,3,5,235,At_Risk,1
AH-100304,13,7,1744,365.2152,158.54545454545453,5,4,3,543,Loyal_Customers,0
AH-100751,3,9,7291,-928.8675,428.88235294117646,5,5,5,555,Champions,1
AH-100752,31,9,4526,528.414,226.3,5,5,5,555,Champions,1
AH-100753,231,6,3044,1105.30792,434.85714285714283,2,3,4,234,At_Risk,0
AH-100754,35,10,3251,281.189,162.55,4,5,4,454,Champions,1
AH-101201,472,3,558,28.512,186.0,1,1,2,112,Lost_Customers,2
AH-101202,114,6,3590,905.511,276.15384615384613,3,3,4,334,Loyal_Customers,1
AH-101203,307,6,4044,773.4288799999999,288.85714285714283,2,3,4,234,At_Risk,1
AH-101204,61,7,1736,-2.314599999999987,108.5,4,4,3,443,Loyal_Customers,0
AH-101951,50,6,3839,-308.2815,225.8235294117647,4,3,4,434,Loyal_Customers,1
AH-101952,93,9,1833,391.05,107.82352941176471,3,5,3,353,Loyal_Customers,1
AH-101953,52,6,5370,454.69128,298.3333333333333,4,3,5,435,Loyal_Customers,1
AH-101954,56,4,1588,-378.55090000000007,198.5,4,2,3,423,Potential_Loyalists,0
AH-102101,471,2,1111,271.97999999999996,370.3333333333333,1,1,2,112,Lost_Customers,2
AH-102102,103,11,7417,1478.2785000000001,285.2692307692308,3,5,5,355,Loyal_Customers,1
AH-102103,8,12,7031,1080.8476799999999,292.9583333333333,5,5,5,555,Champions,1
AH-102104,7,9,4805,1308.5546,369.61538461538464,5,5,5,555,Champions,1
AH-104651,87,6,2183,314.8908,242.55555555555554,3,3,3,333,Loyal_Customers,0
AH-104652,481,2,251,59.748,125.5,1,1,1,111,Lost_Customers,2
AH-104653,71,7,3621,433.37028,278.53846153846155,4,4,4,444,Champions,1
AH-104654,231,5,2495,-196.12009999999998,311.875,2,3,3,233,At_Risk,0
AH-105851,188,9,6205,1046.5821,365.0,2,5,5,255,At_Risk,1
AH-105852,184,5,1615,437.32500000000005,269.1666666666667,2,3,3,233,At_Risk,0
AH-105853,399,4,567,-109.52000000000001,141.75,1,2,2,122,Lost_Customers,0
AH-105854,22,4,738,83.963,147.6,5,2,2,522,Potential_Loyalists,0
AH-106901,146,6,4163,552.99,260.1875,3,3,4,334,Loyal_Customers,1
AH-106902,31,9,3514,790.0079999999999,175.7,5,5,4,554,Champions,1
AH-106903,380,4,710,154.82912,101.42857142857143,1,2,2,122,Lost_Customers,0
AH-106904,411,12,7889,1298.0166,343.0,1,5,5,155,At_Risk,1
AH-1201,600,3,1476,379.62,210.85714285714286,1,1,3,113,Lost_Customers,2
AH-1202,22,1,2,-3.378,2.0,5,1,1,511,Potential_Loyalists,0
AH-1951,1052,2,80,-99.291,26.666666666666668,1,1,1,111,Lost_Customers,2
AH-1952,1241,1,88,29.7,88.0,1,1,1,111,Lost_Customers,2
AH-1953,279,6,2483,-681.564,191.0,2,3,3,233,At_Risk,0
AH-2101,881,2,3090,423.6,618.0,1,1,4,114,Lost_Customers,2
AH-2102,458,2,187,-220.89000000000001,62.333333333333336,1,1,1,111,Lost_Customers,2
AH-301,469,4,5072,-576.624,634.0,1,2,5,125,Lost_Customers,0
AH-302,577,3,1248,426.12,312.0,1,1,2,112,Lost_Customers,2
AH-4651,242,2,540,129.84,108.0,2,1,1,211,Needs_Attention,0
AH-4652,799,2,112,-23.394000000000002,56.0,1,1,1,111,Lost_Customers,2
AH-5851,219,2,889,416.67,296.3333333333333,2,1,2,212,Needs_Attention,0
AH-5852,76,7,1343,-264.948,95.92857142857143,4,4,2,442,Loyal_Customers,0
AH-6901,59,3,948,-492.6120000000001,135.42857142857142,4,1,2,412,Potential_Loyalists,0
AH-6902,601,2,869,162.78,289.6666666666667,1,1,2,112,Lost_Customers,2
AH-751,38,6,3426,842.31,201.52941176470588,4,3,4,434,Loyal_Customers,0
AH-752,269,1,137,54.9,137.0,2,1,1,211,Needs_Attention,0
AH-753,567,1,45,18.78,22.5,1,1,1,111,Lost_Customers,2
AI-108551,309,4,1859,266.59229999999997,265.57142857142856,2,2,3,223,Needs_Attention,0
AI-108552,86,7,2105,473.18399999999997,161.92307692307693,3,4,3,343,Loyal_Customers,0
AI-108553,209,1,20,5.26,10.0,2,1,1,211,Needs_Attention,0
AI-108554,14,10,4376,867.7271000000001,243.11111111111111,5,5,5,555,Champions,1
AI-8551,561,1,30,4.83,30.0,1,1,1,111,Lost_Customers,2
AI-8552,204,3,891,-79.41599999999998,99.0,2,1,2,212,Needs_Attention,0
AJ-107801,125,5,5821,988.0137,970.1666666666666,3,3,5,335,Loyal_Customers,1
AJ-107802,49,7,3898,576.2475000000001,216.55555555555554,4,4,4,444,Champions,1
AJ-107803,62,6,601,69.272,46.23076923076923,4,3,2,432,Loyal_Customers,0
AJ-107804,76,7,4868,150.71300000000002,324.53333333333336,4,4,5,445,Champions,1
AJ-107951,63,6,1209,209.388,134.33333333333334,4,3,2,432,Loyal_Customers,0
AJ-107952,154,6,2249,384.966,187.41666666666666,2,3,3,233,At_Risk,0
AJ-107953,190,3,930,108.032,103.33333333333333,2,1,2,212,Needs_Attention,0
AJ-107954,167,7,4501,1158.7064,214.33333333333334,2,4,5,245,At_Risk,1
AJ-109451,92,9,2329,395.511,179.15384615384616,3,5,3,353,Loyal_Customers,1
AJ-109452,416,7,3402,945.831,378.0,1,4,4,144,At_Risk,1
AJ-109453,29,6,3517,-294.83799999999997,390.77777777777777,5,3,4,534,Loyal_Customers,1
AJ-109454,86,7,1839,521.1351999999999,183.9,3,4,3,343,Loyal_Customers,0
AJ-109601,49,4,1709,135.9051,284.8333333333333,4,2,3,423,Potential_Loyalists,0
AJ-109602,208,6,4502,914.0745,281.375,2,3,5,235,At_Risk,1
AJ-109603,52,4,1792,408.26588,162.9090909090909,4,2,3,423,Potential_Loyalists,0
AJ-109604,75,3,629,60.4265,125.8,4,1,2,412,Potential_Loyalists,0
AJ-7801,212,7,1608,-811.596,76.57142857142857,2,4,3,243,At_Risk,0
AJ-7802,574,1,19,6.81,19.0,1,1,1,111,Lost_Customers,2
AJ-7803,2,4,942,192.78000000000003,188.4,5,2,2,522,Potential_Loyalists,0
AJ-7951,37,5,1276,160.32,116.0,4,3,2,432,Loyal_Customers,0
AJ-7952,122,5,2119,457.16999999999996,141.26666666666668,3,3,3,333,Loyal_Customers,0
AJ-9451,105,5,3817,1272.9840000000002,318.0833333333333,3,3,4,334,Loyal_Customers,0
AJ-9452,341,2,1045,166.08,348.3333333333333,2,1,2,212,Needs_Attention,0
AJ-9601,412,6,4071,1417.218,290.7857142857143,1,3,4,134,At_Risk,1
AJ-9602,295,4,556,-404.53200000000004,69.5,2,2,2,222,Needs_Attention,0
AM-103601,16,8,3217,291.9576,247.46153846153845,5,4,4,544,Champions,1
AM-103602,22,11,8940,2375.502,425.7142857142857,5,5,5,555,Champions,1
AM-103603,97,9,3759,-113.97200000000001,197.8421052631579,3,5,4,354,Loyal_Customers,1
AM-103604,29,5,813,194.9878,67.75,5,3,2,532,Loyal_Customers,0
AM-107051,323,10,11719,-250.2885,488.2916666666667,2,5,5,255,At_Risk,1
AM-107052,26,7,6094,1797.7530000000002,358.47058823529414,5,4,5,545,Champions,1
AM-107053,139,5,742,95.44800000000001,92.75,3,3,2,332,Loyal_Customers,0
AM-107054,163,8,5665,1085.7326,257.5,2,4,5,245,At_Risk,1
AM-3601,191,4,435,-94.68299999999999,62.142857142857146,2,2,1,221,Needs_Attention,0
AM-3602,176,2,1601,324.06,320.2,2,1,3,213,Needs_Attention,0
AM-7051,137,4,867,297.96000000000004,173.4,3,2,2,322,Needs_Attention,0
AM-7052,378,1,24,9.72,24.0,1,1,1,111,Lost_Customers,2
AM-7053,892,1,411,202.26,205.5,1,1,1,111,Lost_Customers,2
AO-108101,37,12,7085,-88.94939999999997,322.04545454545456,4,5,5,455,Champions,1
AO-108102,189,10,5657,786.6060000000001,245.95652173913044,2,5,5,255,At_Risk,1
AO-108103,122,4,1636,318.64,233.71428571428572,3,2,3,323,Needs_Attention,0
AO-108104,502,1,161,12.096,161.0,1,1,1,111,Lost_Customers,2
AO-8101,8,1,24,-32.463,12.0,5,1,1,511,Potential_Loyalists,0
AO-8102,342,1,386,90.21,193.0,2,1,1,211,Needs_Attention,0
AO-8103,126,3,76,6.96,25.333333333333332,3,1,1,311,Needs_Attention,0
AP-107201,45,7,9040,1631.8227,393.04347826086956,4,4,5,445,Champions,1
AP-107202,47,2,1763,324.59999999999997,881.5,4,1,3,413,Potential_Loyalists,0
AP-107203,180,3,2919,695.2546000000001,364.875,2,1,4,214,Needs_Attention,0
AP-107204,42,8,1639,285.7888,86.26315789473684,4,4,3,443,Loyal_Customers,0
AP-109151,77,9,9049,1413.6258,430.9047619047619,4,5,5,455,Champions,1
AP-109152,132,6,1435,-0.9555000000000007,205.0,3,3,3,333,Loyal_Customers,0
AP-109153,318,7,2070,428.12399999999997,207.0,2,4,3,243,At_Risk,0
AP-109154,99,10,3324,579.3113,107.2258064516129,3,5,4,354,Loyal_Customers,1
AP-7201,38,4,423,119.679,52.875,4,2,1,421,Potential_Loyalists,0
AP-7202,128,2,576,-64.38,192.0,3,1,2,312,Needs_Attention,0
AP-9151,464,3,2151,685.05,153.64285714285714,1,1,3,113,Lost_Customers,2
AP-9152,93,2,517,32.459999999999994,129.25,3,1,1,311,Needs_Attention,0
AR-103451,103,9,4462,1030.9062,212.47619047619048,3,5,5,355,Loyal_Customers,1
AR-103452,30,9,7043,771.624,440.1875,5,5,5,555,Champions,1
AR-103453,316,4,1607,102.45199999999997,267.8333333333333,2,2,3,223,Needs_Attention,0
AR-103454,112,4,1056,-221.0544,211.2,3,2,2,322,Needs_Attention,0
AR-104051,55,6,2010,-425.5311,287.14285714285717,4,3,3,433,Loyal_Customers,0
AR-104052,112,7,3532,-231.957,176.6,3,4,4,344,Loyal_Customers,1
AR-104053,145,4,1182,172.77088,131.33333333333334,3,2,2,322,Needs_Attention,0
AR-104054,126,5,2235,-98.76459999999999,319.2857142857143,3,3,3,333,Loyal_Customers,0
AR-105101,238,11,6269,2109.057,298.5238095238095,2,5,5,255,At_Risk,1
AR-105102,63,7,6533,1173.99,362.94444444444446,4,4,5,445,Champions,1
AR-105103,77,6,1210,192.24436,134.44444444444446,4,3,2,432,Loyal_Customers,0
AR-105104,15,5,264,43.6695,37.714285714285715,5,3,1,531,Loyal_Customers,0
AR-105401,649,4,1154,145.0515,164.85714285714286,1,2,2,122,Lost_Customers,2
AR-105402,122,2,64,1.4969999999999999,32.0,3,1,1,311,Needs_Attention,0
AR-105403,416,3,157,19.744000000000003,39.25,1,1,1,111,Lost_Customers,0
AR-105404,7,6,6609,2884.6208,734.3333333333334,5,3,5,535,Loyal_Customers,1
AR-105701,3,7,4880,929.7642,325.3333333333333,5,4,5,545,Champions,1
AR-105702,105,4,1898,262.17600000000004,379.6,3,2,3,323,Needs_Attention,0
AR-105703,3,6,2581,360.25912,234.63636363636363,5,3,4,534,Loyal_Customers,0
AR-105704,535,1,88,32.633,44.0,1,1,1,111,Lost_Customers,2
AR-108251,379,4,633,223.8756,105.5,1,2,2,122,Lost_Customers,0
AR-108252,80,15,7720,1978.1699999999998,308.8,3,5,5,355,Loyal_Customers,1
AR-108253,23,11,2435,131.224,162.33333333333334,5,5,3,553,Loyal_Customers,1
AR-108254,59,8,4523,494.8352,347.9230769230769,4,4,5,445,Champions,1
AR-3451,696,3,1243,230.64000000000001,207.16666666666666,1,1,2,112,Lost_Customers,2
AR-3452,142,6,1058,376.092,105.8,3,3,2,332,Loyal_Customers,0
AR-4051,377,2,144,25.86,72.0,1,1,1,111,Lost_Customers,0
AR-4052,223,4,426,5.340000000000007,85.2,2,2,1,221,Needs_Attention,0
AR-5101,241,2,371,148.89,185.5,2,1,1,211,Needs_Attention,0
AR-5102,105,8,2267,-106.09200000000003,174.3846153846154,3,4,3,343,Loyal_Customers,1
AR-5401,222,4,325,108.66,46.42857142857143,2,2,1,221,Needs_Attention,0
AR-5402,398,4,236,-20.49,39.333333333333336,1,2,1,121,Lost_Customers,0
AR-5701,295,3,970,242.82000000000002,121.25,2,1,2,212,Needs_Attention,0
AR-5702,71,6,1075,166.998,119.44444444444444,4,3,2,432,Loyal_Customers,0
AR-8251,34,3,1704,318.51599999999996,284.0,4,1,3,413,Potential_Loyalists,0
AR-8252,75,4,324,-28.973999999999997,46.285714285714285,4,2,1,421,Potential_Loyalists,0
AS-100451,77,5,2056,257.62739999999997,411.2,4,3,3,433,Loyal_Customers,0
AS-100452,24,13,6708,421.929,268.32,5,5,5,555,Champions,1
AS-100453,220,3,779,234.936,111.28571428571429,2,1,2,212,Needs_Attention,0
AS-100454,89,7,3051,-253.57459999999998,305.1,3,4,4,344,Loyal_Customers,1
AS-100901,54,5,1502,208.878,187.75,4,3,3,433,Loyal_Customers,0
AS-100902,16,8,4140,330.16200000000003,276.0,5,4,4,544,Champions,1
AS-100903,192,10,6112,741.3827200000001,382.0,2,5,5,255,At_Risk,1
AS-100904,29,9,3255,64.53739999999995,130.2,5,5,4,554,Champions,1
